食物类 Food group,食物名称 Food name,鸟嘌呤 Guanine,腺嘌呤 Adenine,次黄嘌呤 Hypoxanthine,黄嘌呤 Xanthine,总嘌呤 Purine,采样地 Sampling site
鱼虾蟹贝类,蛆子,58.8,85.6,31.3,4.6,180,黑龙江
鱼虾蟹贝类,干鲍鱼,36.6,99.8,32.4,2.1,171,黑龙江
鱼虾蟹贝类,鲜贝,15.6,79.1,71.7,0.4,167,黑龙江
鱼虾蟹贝类,蛭子,17,30.7,100.6,0.9,149,黑龙江
鱼虾蟹贝类,鲜鲍鱼（熟）,27.8,74.5,8,1.6,112,黑龙江
鱼虾蟹贝类,即食鲍鱼,34.1,66.1,10.1,Tr,110,黑龙江
鱼虾蟹贝类,鲜鲍鱼,32.4,41.4,26.3,2.1,102,黑龙江
鱼虾蟹贝类,大海螺,26.1,21.2,46,1.4,95,黑龙江
鱼虾蟹贝类,小海螺,27,36.6,30.5,3.1,97,黑龙江
鱼虾蟹贝类,干鲍鱼（发后）,4.1,3.9,0.9,Tr,9,黑龙江
鱼虾蟹贝类,觥鱼,7.5,12.8,196.2,27.9,244,黑龙江
鱼虾蟹贝类,八爪鱼,22.8,23.7,94.5,57.4,198,黑龙江
鱼虾蟹贝类,就鱼丝,18.5,30.9,55.9,0.2,106,黑龙江
鱼虾蟹贝类,干海参（发后）,6.4,6.4,5.3,0.2,18,黑龙江
鱼虾蟹贝类,燕窝,4.1,3,1,2,10,黑龙江
鱼虾蟹贝类,海蛰丝,3.7,3.5,1.2,1,9,黑龙江
鱼虾蟹贝类,鲜海参,3,3.9,1,0.2,8,黑龙江
速食食品,水饺（三鲜馅）,40.6,33.4,67.8,3,145,黑龙江
速食食品,饺子（猪肉芹菜）,20.7,16.3,15,3.7,56,黑龙江
速食食品,黑芝麻糊,20.1,20.2,6.6,Tr,47,黑龙江
速食食品,饺子（猪肉香菇馅）,13.1,9.4,17,2.2,42,黑龙江
速食食品, 方便面,18.6,16.8,0.2,Tr,36,黑龙江
速食食品,包子（羊肉萝卜馅）,11.3,9,14.7,Tr,35,黑龙江
速食食品,饼干,4.4,6.3,0.8,Tr,11,黑龙江
速食食品,米旗月饼（豆沙）,28.2,38,15.5,3.6,85,黑龙江
速食食品,锅巴,30.8,22.2,11.4,8.9,73,黑龙江
速食食品,绿豆糕,22.8,26.6,1.3,5.5,56,黑龙江
速食食品,薯片,11.8,12.6,5.9,1.5,32,黑龙江
速食食品,月饼,7.7,19.2,0.5,1.2,29,黑龙江
速食食品,薯片,12.1,12,3.7,0.2,28,黑龙江
速食食品,爆米花,9.2,10.9,Tr,0.4,20,黑龙江
饮料类,百事可乐,0.6,0.4,Tr,0.1,1,黑龙江
饮料类,雪碧,Tr,Tr,Tr,0.5,1,黑龙江
饮料类,可乐,Tr,Tr,Tr,Tr,Tr,黑龙江
饮料类,芒果味果肉果汁,1.3,1.2,Tr,0.4,3,黑龙江
饮料类,山楂汁,0.6,0.3,Tr,1.4,2,黑龙江
饮料类,菠萝汁,Tr,Tr,Tr,2.2,2,黑龙江
饮料类,杏仁露,1.1,0.3,Tr,Tr,1,黑龙江
饮料类,橙汁,0.8,Tr,Tr,0.2,1,黑龙江
饮料类,沙棘汁,0.5,0.3,Tr,0.2,1,黑龙江
饮料类, C柚汁,Tr,0.2,Tr,0.8,1,黑龙江
饮料类,苹果汁,0.1,0.3,Tr,0.4,1,黑龙江
饮料类,椰汁,0.2,0.2,Tr,Tr,Tr,黑龙江
饮料类,南瓜汁,1.7,1.3,Tr,Tr,3,黑龙江
饮料类,承德露露,Tr,Tr,Tr,0.2,Tr,黑龙江
饮料类,绿茶,0.4,0.4,Tr,0.1,1,黑龙江
饮料类,冰红茶,Tr,Tr,Tr,0.6,1,黑龙江
饮料类,凉茶（王老吉）,Tr,Tr,Tr,Tr,Tr,黑龙江
饮料类,南国速溶椰子粉,0.6,0.8,0.2,0.2,2,黑龙江
饮料类,弱碱水,Tr,Tr,Tr,0.2,Tr,黑龙江
含酒精饮料,佳士伯啤酒,5.4,3.3,0.2,0.8,10,黑龙江
含酒精饮料,燕京黑啤,4.3,1.5,0.9,2.5,9,北京
含酒精饮料,青岛啤酒,3.9,1.8,0.3,0.8,7,黑龙江
含酒精饮料,百威啤酒,3.6,2.2,0.2,0.7,7,黑龙江
含酒精饮料,五星金麦啤酒,2.6,3.2,0.4,0.2,6,黑龙江
含酒精饮料,蓝带啤酒,2.9,2.7,0.3,0.4,6,黑龙江
含酒精饮料,哈啤小麦王,2.7,2.3,0.7,0.6,6,黑龙江
含酒精饮料,黄酒,1.6,2.6,1.8,Tr,6,黑龙江
含酒精饮料,新三星干啤,2.5,2.9,0.1,0.6,6,黑龙江
含酒精饮料,北京啤酒,2.2,2.8,0.3,0.7,6,黑龙江
含酒精饮料,雪花啤酒,2.9,1.8,0.4,0.7,6,黑龙江
含酒精饮料,雪花全麦啤酒,2.6,1,0.4,1.4,5,北京
含酒精饮料,北京纯生啤酒,3.2,1.2,0.2,0.8,5,北京
含酒精饮料,哈尔滨啤酒,2.2,2.3,0.2,0.5,5,黑龙江
含酒精饮料,五星啤酒,1.7,2.3,0.2,0.6,5,黑龙江
含酒精饮料,葡萄酒,0.3,4,0.2,0.2,5,黑龙江
含酒精饮料, 10°雪花清爽啤酒,2.1,2.1,0.3,0.4,5,黑龙江
含酒精饮料, 10°雪花啤酒,1.8,2.3,0.2,0.3,5,黑龙江
含酒精饮料,燕京啤酒,2.6,0.7,0.5,0.9,5,北京
含酒精饮料,干红,Tr,0.1,Tr,Tr,Tr,黑龙江
含酒精饮料,白酒,0.4,1.3,0.3,Tr,2,黑龙江
糖、果脯和蜜饯、蜂蜜类,红塘,0.6,3.7,0.8,Tr,5,黑龙江
糖、果脯和蜜饯、蜂蜜类,白糖,Tr,,0.1,Tr,,黑龙江
糖、果脯和蜜饯、蜂蜜类,蜂蜜,Tr,Tr,0.2,Tr,Tr,黑龙江
油脂类,蛇油,0.4,3.6,2.3,Tr,6,黑龙江
油脂类,大豆油,1.6,0.2,1.2,1.1,1.6,黑龙江
调味品类,海鲜酱油,26.1,18,9.2,5,58,黑龙江
调味品类,正阳酱油,2,1.8,15.2,8.9,28,黑龙江
调味品类,镇江香醋,3.5,8.8,3.1,5.4,21,黑龙江
调味品类,山西陈醋,1.4,5.3,1.6,3.5,12,黑龙江
调味品类, 3.5度米醋,0.5,0.4,1.7,0.5,3,黑龙江
调味品类, 9度米醋,0.4,0.8,0.5,0.2,2,黑龙江
调味品类,豆瓣酱,38.6,33.1,2.8,2.7,77,黑龙江
调味品类,葱味虾酱,13.5,1.8,22.3,7.9,45,黑龙江
调味品类,颗粒花生酱,16.1,13.1,5,6.4,41,黑龙江
调味品类,甜面酱,1.5,0.3,6.9,0.9,10,黑龙江
调味品类,番茄酱,0.5,0.6,5.5,Tr,7,黑龙江
调味品类,沙拉酱,0.8,1.9,0.1,Tr,3,黑龙江
调味品类, 鸡精（太太乐）,237.1,3.3,275.1,2.1,518,黑龙江
调味品类,鸡精（家乐）,83.8,14.9,231.7,19.8,350,黑龙江
调味品类,酵母（安琪，干）,96.3,199.9,19.4,19.5,335,黑龙江
